  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1936-04,-11.91,-12.76,-10.17,-14.09,-12.51
1936-05,4.59,5.05,6.2,6.25,6.59
1936-06,1.28,-0.86,0.58,0.78,-0.66
1936-07,7.43,8.74,8.95,5.92,7.33
1936-08,2.07,2.49,0.42,-1.07,2.19
1936-09,3.9,3.47,4.88,1.06,2.18
1936-10,6.48,7.17,4.87,3.54,6.38
1936-11,10.35,9.51,6.44,5.46,8.18
1936-12,-2.35,7.14,-0.99,-2.45,3.43
1937-01,6.3,9.75,4.22,8.96,6.78
1937-02,2.26,1.61,0.63,-3.49,6.62
1937-03,-1.99,1.74,-4.46,-3.36,1.43
1937-04,-9.88,-9.92,-9.05,-5.41,-11.48
1937-05,-3.1,-1.11,0.73,0.28,-4.37
1937-06,-6.93,-6.35,-5.3,-6.9,-12.25
1937-07,9.4,10.5,8.78,6.2,10.32
1937-08,-4.75,-5.7,-2.08,-4.45,-6.77
1937-09,-18.43,-20.65,-19.3,-12.57,-19.13
1937-10,-9.66,-10.91,-11.65,-4.84,-9.36
1937-11,-12.75,-10.3,-10.97,-9.71,-9.45
1937-12,-11.45,-8.58,-6.04,-6.68,-12.88
1938-01,7.19,2.05,2.82,4.12,3.98
1938-02,4.34,8.1,9.04,5.23,4.34
1938-03,-26.61,-29.3,-29.08,-16.34,-30.81
1938-04,18.58,21.08,21.73,13.63,21.28
1938-05,-6.71,-7.99,-5.92,-2.38,-6.13
1938-06,29.09,35.08,32.24,15.38,27.47
1938-07,14.63,10.09,12.53,6.46,13
1938-08,-5.31,-6.11,-4.04,-2.78,-9.34
1938-09,-1.74,-0.78,-1.1,-1.88,-2.82
1938-10,13.2,15.51,12.62,9.67,14.4
1938-11,-3.33,-2.65,-4.16,1.51,-7.44
1938-12,-0.05,5.09,5.58,-0.2,4.74
1939-01,-5.4,-9.25,-8.21,-5.45,-7.72
1939-02,4.94,3.69,3.29,4.9,3.84
1939-03,-14.78,-19.64,-17.63,-8.15,-17.16
1939-04,1.03,-0.05,0.19,-0.24,-1.75
1939-05,8.94,8.76,10.63,6.14,6.4
1939-06,-6.29,-9.15,-11.08,-3,-10.2
1939-07,12.14,15.07,17.15,8.22,12.55
1939-08,-10.32,-10.5,-11.67,-10.36,-11.1
1939-09,30.14,44.1,19.98,14.89,55.43
1939-10,1.72,-1.77,-0.31,2.87,-3.39
1939-11,-5.66,-9.71,-4.36,-3.33,-10.61
1939-12,1.58,2.77,1.74,0.38,-0.62
1940-01,-0.15,-3.89,-1.35,-1.13,-0.65
1940-02,4.3,2.69,2.39,1.53,1.51
1940-03,2.8,2.08,4.6,4.87,3.54
1940-04,1.19,2.07,-0.14,1.69,-0.16
1940-05,-27.21,-26.81,-23.83,-22.32,-27.59
1940-06,6.44,7.5,4.92,3.69,6.11
1940-07,3.25,4.04,4.37,1.51,4.06
1940-08,2.58,2.13,5.43,-0.98,1.14
1940-09,3.68,4.43,2.85,4.44,2.96
1940-10,3.07,6.61,6.54,-0.18,4.25
1940-11,1.64,-0.94,-2.59,-0.49,-1.67
1940-12,-2.22,-0.46,0.13,-0.68,-4.66
1941-01,-0.42,-4.67,-0.37,3.43,8.53
1941-02,-2.49,-1.98,0.38,-3.32,-1.6
1941-03,1.48,-0.02,2.68,0.3,4.02
1941-04,-6.37,-5.7,-6.4,-5.87,-4.67
1941-05,0.53,2.35,0.01,3.3,-1.13
1941-06,7.28,7.12,6.77,4.43,4.77
1941-07,13.42,11.31,8.06,12.65,17.57
1941-08,0.64,-1.53,-1.17,0.45,-1.04
1941-09,-0.74,-2.71,-0.34,2.58,-3.85
1941-10,-6.2,-6.3,-7.25,-2.48,-6.19
1941-11,-3.58,-3.4,-2.92,0.04,-3.79
1941-12,-9.11,-6.84,-6.64,-3.98,-11.12
1942-01,10.24,8.33,6.53,2.96,35.3
1942-02,-0.94,-1.07,-2.08,-5.39,-2.65
1942-03,-4.5,-4.68,-0.47,-4.48,-8.96
1942-04,-4.87,-5.42,-4.48,-3.16,-2.25
1942-05,4.12,1.69,6.88,7.62,1.91
1942-06,2.63,2.31,3.13,4.64,2.16
1942-07,4.79,3.41,4.95,2.45,7.16
1942-08,2.12,2.49,1.88,3.02,5.44
1942-09,3.06,4.44,5.44,2.02,9.03
1942-10,8,10.75,11.86,4.8,11.95
1942-11,0.53,-2.8,1.56,1.69,-3.98
1942-12,2.56,4.06,8.19,9.48,1.85
1943-01,15.65,15.33,9.15,6.07,26.5
1943-02,9.79,11.24,7.37,6.05,27.07
1943-03,12.17,10.12,10.14,11.93,11.93
1943-04,5.08,1.32,3.55,5.01,5.93
1943-05,8.3,7.71,8.84,3.56,10.54
1943-06,3.69,0.54,2.98,2.42,-2.5
1943-07,-4.97,-7.26,-7.7,-2.75,-7.46
1943-08,1.2,0.04,0.47,-1,-0.49
1943-09,4.1,3.08,4.84,3.85,3.14
1943-10,0.18,-0.26,-0.3,-0.06,-1.54
1943-11,-7.45,-9.24,-8.62,-5.67,-11.45
1943-12,10.26,9.52,11.07,5.95,9.64
1944-01,4.3,4.12,5.09,2.51,6.15
1944-02,1.79,1.07,-0.6,-2.29,2.82
1944-03,4.87,3.33,4.04,5.86,4.56
1944-04,-2.52,-3.03,-2.52,-1.86,-3.91
1944-05,8.1,6.15,6.89,5.44,4.9
1944-06,10.88,9.61,9.57,5.61,12.53
1944-07,-0.73,-1.33,-1.86,-2.61,-1.76
1944-08,4.46,2.87,1.78,0.07,1.7
1944-09,0.24,0.08,0.25,1.54,-0.83
1944-10,0.56,-0.24,0.14,-0.6,-0.07
1944-11,2.57,1.99,1,1.48,3.24
1944-12,4.43,6.67,5.79,5.32,13.11
