  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1969-01,-0.93,0,-2.37,-0.49,0.91
1969-02,-8.59,-8.24,-10.22,-6.11,-8.9
1969-03,1.72,2.29,0.87,3.64,2.02
1969-04,0.33,-0.59,1.27,3.92,2.09
1969-05,0.57,0.75,-0.35,2.46,-0.52
1969-06,-11.31,-10.59,-12.37,-8.09,-12.91
1969-07,-10.16,-8.48,-11.88,-4.04,-10.45
1969-08,5.29,3.84,6.29,10.44,7.16
1969-09,-2.3,-3.32,-2.31,1.84,-1.36
1969-10,9.67,7.89,16.54,11.13,7.84
1969-11,-5.73,-5.43,-4.81,-1.41,-6.97
1969-12,-7.54,-5.48,-7.25,0.61,-8.97
1970-01,-3.69,-3.17,-5.81,-4.11,-5.1
1970-02,2.33,4.41,3.78,4.13,6.91
1970-03,-2.1,-1.23,-6.28,-4.91,-2.6
1970-04,-15.76,-14.3,-20.74,-17.07,-18.19
1970-05,-9.78,-7.98,-10.3,-10.36,-9.42
1970-06,-7.18,-7.07,-10.46,-5.75,-8.24
1970-07,6.62,6.56,0.76,4.16,6.04
1970-08,5.67,5.97,7.69,4.87,7.25
1970-09,13.51,10.22,20.39,12.19,13.46
1970-10,-4.87,-5.13,-12.3,-4.42,-6.61
1970-11,0.06,1.24,-2.91,-0.25,0.22
1970-12,11.08,7.65,4.97,9.09,6.88
1971-01,14.3,11.58,17.89,8.44,16.15
1971-02,7.37,3.16,4.67,6.85,3.96
1971-03,6.07,3.93,9.42,4.64,6.09
1971-04,1.98,2.49,3.32,4.08,3.72
1971-05,-4.91,-4.94,-5.84,-0.49,-5.79
1971-06,-1.85,-1.57,-3.2,-0.5,-1.66
1971-07,-5.92,-4.47,-8.94,-6.1,-5.81
1971-08,3.97,3.74,5.05,4.7,5.14
1971-09,0.69,-1.5,-2.82,1.45,-0.05
1971-10,-5.64,-5.41,-7.68,-4.85,-6.3
1971-11,-3.59,-3.1,-2.5,-2.89,-4
1971-12,12.63,10.83,15.55,12.11,11.27
1972-01,10.17,8.91,17.74,6.67,11.6
1972-02,4.8,3.75,5.96,7.85,2.58
1972-03,-0.36,-0.2,0.15,0.44,0.3
1972-04,-0.07,0.48,0.23,-0.61,-0.16
1972-05,-2.47,-1.58,-1.41,0.27,-2.43
1972-06,-4.37,-2.5,-3.34,-1.18,-3.9
1972-07,-4.65,-1.54,-2.59,-1.96,-4.16
1972-08,-0.82,3.02,0.7,3.8,0.8
1972-09,-3.84,-2.35,-3.9,-3.67,-3.38
1972-10,-1.73,-0.63,-1.99,-4.44,-2.1
1972-11,6.07,5.8,2.92,-0.4,4.38
1972-12,-2.71,-1.27,-2.62,-0.09,-2.98
1973-01,-5.75,-2.03,-3.85,-8.1,-4.65
1973-02,-8.45,-6.28,-9.21,-7.34,-7.13
1973-03,-4.33,-1.56,-3.51,-3.02,-2.1
1973-04,-8.73,-4.87,-8.46,-10,-8.55
1973-05,-9.44,-6.71,-9.78,-8.81,-8.85
1973-06,-4.89,-2.46,-2.74,-4.27,-2.85
1973-07,11.96,9.46,16.18,14.64,9.82
1973-08,-5.4,-3.27,-6.06,-6.19,-4.31
1973-09,6.35,8.86,11.24,8.52,5.9
1973-10,-1.86,1.93,1.13,0.75,-1.29
1973-11,-20.14,-15.83,-21.58,-15.78,-16.3
1973-12,-5.98,-1.79,-4.73,-5.26,-4.12
1974-01,14.89,12.3,14.82,9.53,12.68
1974-02,1.35,0.83,-1.18,-0.81,0.77
1974-03,1.94,1.08,0.45,-0.62,0.4
1974-04,-4.99,-4.64,-5.98,-5.51,-5.86
1974-05,-6.21,-6.46,-7,-5.97,-7.9
1974-06,-2.98,-1.53,-4.32,-3.09,-3.83
1974-07,-5.44,-3.51,-7.79,-7.36,-5.81
1974-08,-7.85,-7.14,-8.55,-7.9,-8.98
1974-09,-8.49,-7.07,-11.05,-11.78,-7.04
1974-10,6.93,11.61,6.51,19.96,8.44
1974-11,-6.12,-3.55,-5.75,-1.61,-5.1
1974-12,-8.49,-6.2,-10.07,-8.27,-7.73
1975-01,31.17,25.31,34.68,27.65,29.02
1975-02,4.88,4.79,8.32,11.84,5.86
1975-03,11.71,5.67,11.55,5.19,7.15
1975-04,3.38,4.64,6.7,3.8,1.66
1975-05,6.89,7.32,10.84,8.65,7.04
1975-06,8.06,8.17,8.65,5.43,6
1975-07,0.83,-1.59,-2.42,-2.52,-0.68
1975-08,-4.38,-3.82,-6.12,-7.68,-4.95
1975-09,-2.65,-3.24,-4.39,-5.04,-4.38
1975-10,3.99,1.22,0.48,1.88,0.62
1975-11,4,1.62,1.61,2.66,0.77
1975-12,-0.68,-0.77,-2.24,-0.75,0.52
1976-01,20.41,18.29,24.58,17.01,16.64
1976-02,14.1,8.79,14.04,7.48,10.8
1976-03,1.67,1.65,2.98,1.9,2.76
1976-04,-1.24,0.05,-1.14,-3.51,-0.16
1976-05,-4,0.25,-3.21,-1.81,-1.82
1976-06,1.16,3.78,5.82,2.57,2.72
1976-07,-0.64,0.85,-1.36,0.8,0.76
1976-08,-2.24,-1.07,-2.62,-1.52,-1.23
1976-09,0.4,2.74,1.3,2.06,1.46
1976-10,-2.77,-1.87,-3.78,-1.1,-1.42
1976-11,2.67,2.38,3.05,1.06,2.63
1976-12,9.48,9.24,12.39,9.24,10.34
1977-01,2.17,4.55,5.33,3.71,3.6
1977-02,-0.26,0,0.7,-0.5,0.9
1977-03,0.01,0.86,1.89,0.65,1.67
1977-04,0.79,2.39,1.37,-1.12,2.37
1977-05,0.01,0.02,0.34,0.04,0.89
1977-06,4.49,5.69,6.16,7.14,5.38
1977-07,1.16,-0.14,1.13,0.86,2.27
1977-08,-0.15,-1.23,0.44,-0.43,0.08
1977-09,1.87,0.46,0.86,4.78,1.7
1977-10,-1.83,-3.04,-2.56,-0.35,-2.16
1977-11,6.71,6.89,9.12,8.17,7.07
1977-12,1.53,1.71,3.4,3.92,2.37
1978-01,-1.14,-2.25,-2.15,-1.42,-0.29
1978-02,3.21,2.07,2.49,1.86,2.55
1978-03,6.95,5.29,9.52,8.91,6.85
1978-04,7.72,7.3,11.54,10.94,7.78
1978-05,7.38,5.8,11.59,8.29,6.17
1978-06,0.43,0.41,0.5,0.73,1.88
1978-07,3.15,5.41,7.31,8.94,5.6
1978-08,9.84,6.87,16.78,9.74,8.98
1978-09,1.05,-0.14,0.75,-0.25,0.64
1978-10,-19.01,-17.19,-23.79,-22.79,-16.35
1978-11,4.1,4.85,7.99,7.87,2.66
1978-12,-0.05,1.13,4.02,3.32,1.72
1979-01,9.37,9.59,11.74,8.97,8.36
1979-02,-2.68,-1.46,-3.35,-4.45,-1.13
1979-03,6.58,9.36,11.13,7.3,7.52
1979-04,2.28,2.6,3.01,1.1,3.18
1979-05,-1.37,-0.76,-1.43,-1.31,-0.72
1979-06,2.58,7.33,5.19,4.46,6.01
1979-07,1.37,2.7,1.79,2.89,2.69
1979-08,7.17,7.99,9.45,7.62,6.76
1979-09,-0.82,0.17,-0.34,1.32,-0.29
1979-10,-9.59,-9.27,-9.17,-9.27,-10.16
1979-11,3.83,7.69,10.92,9.77,5.97
1979-12,4.51,7.67,9.79,7.15,6.2
1980-01,7.34,11.45,13.68,8.25,9.75
1980-02,-1.32,-0.95,-0.7,-3.28,-0.68
1980-03,-15.13,-16.37,-18.82,-13.64,-15.94
1980-04,3.51,5.5,5.69,6.22,5.86
1980-05,7.89,5.97,6.94,10.93,7.77
1980-06,3.85,4.27,3.15,1.94,5.14
1980-07,8.26,8.02,16.51,13.17,8.54
1980-08,6.2,5.65,12.7,8.7,5.63
1980-09,3.7,5.46,6.4,6.6,4.67
1980-10,1.86,4.35,7.22,6.41,4.78
1980-11,2.39,9.44,10.34,7.72,6.17
1980-12,-3.01,-3.93,-3.58,-2.17,-2.58
1981-01,3.13,-0.93,-2.53,2.9,1.16
1981-02,1.63,0.24,-2.1,-1.81,1.34
1981-03,7.78,6.28,8.27,11.85,7.27
1981-04,4.8,0.02,5.98,7.14,3.03
1981-05,2.71,2.21,7.63,3.72,1.73
1981-06,1.65,-1.29,-5.26,-2.14,0.18
1981-07,-2.19,-0.09,-5.34,-4.24,-2.12
1981-08,-6.54,-7.09,-11.97,-11.01,-6.45
1981-09,-6.38,-10.54,-9.69,-7.72,-8.59
1981-10,6.03,6.36,10.45,9.42,6.99
1981-11,1.19,1.75,2.29,1.41,2.41
1981-12,-1.01,-2.7,-1.78,-1.68,-2.2
1982-01,-0.37,-2.78,-1.01,-0.77,-2.13
1982-02,-2.28,-6.48,-5.73,-3.09,-4.16
1982-03,1.09,-2.37,-1.17,-0.23,-1.26
1982-04,6.17,3.1,8.32,9.71,5.43
1982-05,-1.54,-2.45,-3.5,-3.71,-2.42
1982-06,-0.61,-4.8,-4.81,-2.9,-3.21
1982-07,0.74,-3.93,-1.28,0.47,-1.38
1982-08,4.61,6.8,6.05,6.13,6.97
1982-09,5,-0.25,4.92,5.5,4.14
1982-10,12.96,9.97,18.05,15.5,13.48
1982-11,10.67,4.24,14.35,14.87,10.53
1982-12,2.19,1.72,3.85,4.06,1.85
1983-01,8.4,10.85,16.1,12.43,10.57
1983-02,8.13,2.41,8.56,8.44,4.95
1983-03,7.56,3.19,2.65,6.07,6.45
1983-04,8.94,6.63,6.72,8.62,9.19
1983-05,7.88,10.04,11.79,8.13,8.53
1983-06,6.71,3.79,6.03,5.7,4.07
1983-07,-1.35,-0.11,-6.11,-6.93,-1.39
1983-08,-4.15,-2.02,-5.4,-4.25,-3.27
1983-09,1.47,0.29,-1.41,-2.67,0.52
1983-10,-4.53,-4.59,-10.78,-10.68,-4.68
1983-11,3.93,1.86,4.92,0.48,2.66
1983-12,-2.15,-1.56,-4,-5.86,-1.53
1984-01,-1.09,2.36,-2.19,-1.77,0.74
1984-02,-5.5,-4.67,-9.35,-5.67,-4.65
1984-03,1.13,1.63,-0.52,0.23,0.31
1984-04,-1.8,-0.99,-2.77,-1.04,-2.72
1984-05,-3.9,-4.13,-6.26,-7.71,-5.4
1984-06,2.87,0.32,2.68,2.57,0.93
1984-07,-3.51,-4.92,-7.5,-5.18,-3.83
1984-08,8.66,8.67,11.45,12.79,7.28
1984-09,0.13,0.19,-3.02,-2.79,1.57
1984-10,-2.11,-3.1,-4.11,-2.03,-0.57
1984-11,-2.8,-2.8,-5.41,-5.03,-2.47
1984-12,0.65,0.32,0.55,-0.01,1.1
1985-01,11.1,9.24,17.79,17.55,12.11
1985-02,4.33,3.99,6.03,7.66,4.42
1985-03,-1.08,-0.83,-3.75,-2.09,0.65
1985-04,-1.52,-1.38,-4.18,-0.02,0.3
1985-05,3.04,1.61,0.99,3.3,3.13
1985-06,1.09,-0.93,-2.11,2.06,2.22
1985-07,1.08,1.68,2.86,0.91,2.3
1985-08,-0.46,-0.85,-1.74,-1.55,0.96
1985-09,-4.47,-5.25,-8.24,-7.13,-5.31
1985-10,1.83,1.4,0.78,2.41,2.79
1985-11,5.88,4.62,5.49,5.54,5.84
1985-12,3.8,1.01,3.58,3.79,3.62
1986-01,3.85,2.12,4.09,4.94,6.36
1986-02,7.58,3.62,5.63,3.81,8.32
1986-03,6.34,3.86,3.26,10.02,4.7
1986-04,2.09,-0.08,2.74,0.79,1.7
1986-05,4.99,3.49,3.1,4.57,3.45
1986-06,2.56,0.73,-2.2,2.41,1.44
1986-07,-8.16,-7.03,-9.7,-8.67,-6.31
1986-08,0.33,3.81,0.97,0.21,2.12
1986-09,-6.77,-4.65,-7.7,-9.25,-6.11
1986-10,3.58,1.88,3.13,3.57,1.78
1986-11,0.24,-0.95,0.17,-1.47,-1.85
1986-12,-4.19,-2.9,-4.3,-5.25,-3.43
1987-01,8.99,13.7,14.16,12.15,10.87
1987-02,7.19,6.34,10.11,14.77,5.81
1987-03,2.53,5.62,1.32,3.09,2.75
1987-04,-2.76,-1.09,-0.72,-2.51,-2.68
1987-05,-0.65,2.47,0.56,-1.22,-0.83
1987-06,3.54,3.37,0.67,2.01,2.22
1987-07,3.43,6.52,1.9,-0.44,2.45
1987-08,2.15,0.61,1.81,-0.09,2.18
1987-09,-2.14,-1.31,-0.91,-2.1,-1.84
1987-10,-29.43,-26.2,-31,-32.67,-24.84
1987-11,-6.73,-4.39,-7.55,-6.36,-4.18
1987-12,3.14,2.91,6.35,1.44,1.44
1988-01,7.19,7.82,7.11,12.55,8.31
1988-02,8.87,6.03,7.1,7.47,4.84
1988-03,4.4,4.34,3.59,6.1,2.18
1988-04,1.98,2.22,1.83,1.54,0.05
1988-05,-1.07,-0.73,-3.41,-2.26,-1.71
1988-06,4.96,4.56,6.55,5.05,4.53
1988-07,0.32,-0.01,-1.11,-0.14,0.46
1988-08,-2,-2.43,-3.49,-1.92,-1.72
1988-09,3.51,1.43,2.12,2.12,1.36
1988-10,-0.63,-1.12,-2.68,-3.92,-0.83
1988-11,-4.39,-3.06,-4.9,-6.8,-3.55
1988-12,2.02,2.76,3.88,2.92,0.7
1989-01,5.58,6.16,7.7,6.45,6.18
1989-02,0.65,0.44,-1.03,-1.16,1.2
1989-03,2.65,2.35,1.25,2.14,0.81
1989-04,3.89,3.58,3.76,4.45,2.24
1989-05,3.38,2.7,3.1,4.53,2.2
1989-06,-1.78,-1.11,-1.9,-5.03,0.08
1989-07,3.76,3.42,0.99,4.68,3.01
1989-08,1.37,2.43,1.8,1.89,2.32
1989-09,-0.81,0.47,0.46,2.74,0.26
1989-10,-6.77,-4.54,-4.34,-4.72,-5.27
1989-11,-1.72,0.19,-2.34,0.55,-1.28
1989-12,-1.02,1.21,-1.2,-1.93,-3.84
1990-01,-5.64,-4.23,-5.66,-5.58,-5.14
1990-02,1.8,2.94,3.24,1.69,0.81
1990-03,3.56,3.75,3.92,4.57,-0.07
1990-04,-2.42,-2.66,-2.06,-0.88,-3.42
1990-05,4.29,4.77,7.78,8.13,2.01
1990-06,0.61,-0.09,1.08,5.14,-0.7
1990-07,-4.38,-0.49,-5.37,-0.6,-3.57
1990-08,-13.4,-8.12,-14.53,-10.46,-11.35
1990-09,-9.97,-4.67,-9.4,-8.24,-8.83
1990-10,-6.7,-5.72,-4.91,-3.89,-7.3
1990-11,4.08,2.6,4.37,6.71,3.61
1990-12,-0.24,-0.92,-0.09,3.48,-0.73
1991-01,9.59,5.39,14.71,13.39,7.22
1991-02,12.46,10.45,13.87,21.21,15.26
1991-03,8.77,4.48,11.18,15.9,7.17
1991-04,2.36,1.78,5.83,4.16,3.12
1991-05,4.26,2.95,1.04,6.14,2.75
1991-06,-2.25,-3.59,-5.76,-4.24,-2.89
1991-07,2.34,4.18,3.57,7.81,2.91
1991-08,3.12,2.4,3.98,6.28,2.54
1991-09,0.61,0.18,1.95,7.5,-0.75
1991-10,1.12,2.15,3.48,10.61,1.29
1991-11,-2.94,-1.9,-3.85,-0.38,-2.29
1991-12,3.64,1.88,3.74,10.78,3.63
1992-01,13.4,9.6,19.46,24.78,18.71
1992-02,7,4.02,7.59,-0.96,6.98
1992-03,-0.04,-0.37,-1.91,-7.12,-0.21
1992-04,-4.38,-1.61,-5.05,-11.48,-1.12
1992-05,-1.28,1.48,-1.34,-1.3,2.26
1992-06,-4.41,-3.73,-6.72,-6.1,-2.15
1992-07,2.17,2.52,1.52,3.63,3.76
1992-08,-2.01,-2.26,-4.31,-3.84,-2.29
1992-09,1.49,1.92,1.88,-1.53,1.46
1992-10,3.13,0.73,3.77,3.84,1.28
1992-11,8.58,4.82,10.47,12.28,5.62
1992-12,3.3,2.71,4.91,0.93,5.17
1993-01,6.24,6.08,7.14,3.24,9.19
1993-02,-2.59,2.55,-2.15,-12.75,0.68
1993-03,3.32,3.42,1.6,0.14,3.78
1993-04,-2.58,-0.27,-3.35,-4.01,-0.76
1993-05,4.66,3.67,6.83,6.35,1.79
1993-06,0.27,1.54,3.22,-0.01,1.37
1993-07,0.47,1.13,1.31,-2.5,3.06
1993-08,2.72,4.67,6.76,1.91,3.59
1993-09,2.55,0.81,3.83,4.46,3.37
1993-10,4.22,2.28,5.86,6.79,3.4
1993-11,-0.83,-3.13,-2.05,-4.37,-2.79
1993-12,0.81,1.71,1.08,-0.8,1.47
1994-01,2.46,5.45,5.75,6.39,5.28
1994-02,-0.28,0.38,0.23,-2.92,-1.51
1994-03,-3.84,-3.99,-4.86,-6.99,-3.58
1994-04,-1.73,0.37,-2.18,-4.51,-0.67
1994-05,-1.97,-0.01,-0.97,-0.17,1.29
1994-06,-3.7,-1.51,-5.07,-5.28,-0.91
1994-07,0.83,2.6,2.51,-0.52,0.98
1994-08,4.33,2.76,5.85,6.94,2.45
1994-09,0.19,0.6,3.02,1.11,-0.13
1994-10,-0.11,0.42,4.04,-1.57,-1.78
1994-11,-4.45,-5.01,-2.86,-2.53,-5.3
1994-12,-3.71,-0.24,0.89,-4.27,-0.54
1995-01,1.58,1.3,3.82,7.38,4.09
1995-02,2.31,2.99,4.55,2.66,3.17
1995-03,0.36,1.58,3.8,3.17,1.52
1995-04,1.11,2.42,4.04,2.17,2.26
1995-05,-0.26,2.45,2.46,3.86,2.13
1995-06,3.53,2.82,10.69,9.84,4.32
1995-07,4.68,4.23,9.64,9.84,5.03
1995-08,1.69,1.54,4.37,8.11,4.47
1995-09,1.79,1.45,4.16,5.74,2.68
1995-10,-6.3,-4.73,-5.63,-6.48,-1.9
1995-11,0.56,1.46,2.43,1.15,1.93
1995-12,-1.82,1.16,-0.95,7.21,1.31
1996-01,1.55,2.81,0.28,9.49,3.32
1996-02,3.58,2.43,6.97,5.29,2.32
1996-03,4.98,2.73,0.88,3.3,2.53
1996-04,5.39,6.02,12.11,7.47,2.73
1996-05,8.44,5.15,10.87,7.46,4.67
1996-06,-2.98,-1.67,-7.62,-6.49,-0.79
1996-07,-8.55,-6.69,-13.66,-14.55,-5.34
1996-08,4.41,3.85,4.88,5.37,4.49
1996-09,1.51,3.02,4.28,3.94,2.92
1996-10,-3.15,0.72,-5.58,-7.23,-0.43
1996-11,1.76,4.21,2.05,0.87,2.48
1996-12,-2.08,0.82,-2.63,1,0.11
1997-01,4.73,6.49,8.62,9.43,5.67
1997-02,-0.32,-2.74,-6.26,-1.37,1.67
1997-03,-4.09,-2.59,-9.16,-9.82,-3.33
1997-04,-2.77,-1.07,-3.4,-6.7,-0.46
1997-05,7.06,9.08,14.42,10.27,6.29
1997-06,4.17,4.23,3.18,2.72,5.56
1997-07,3.23,5.83,6.85,1.2,6.04
1997-08,2.37,3.86,6.96,2.8,1.58
1997-09,7.83,7.44,9.31,11.4,8.66
1997-10,-2.26,-2.03,-4.94,-2.21,-0.02
1997-11,-1.26,-2.08,-4.4,-4.89,-0.15
1997-12,-4.98,-2.76,-7.21,-6.84,2.17
1998-01,1.01,-0.48,3.47,2.27,1.05
1998-02,7.09,5.31,8.05,4.81,5.67
1998-03,5.31,3.88,4.92,3.73,5.59
1998-04,3.35,1.33,4.27,-0.42,3.14
1998-05,-2.69,-4.47,-7.87,-4.11,-3.57
1998-06,-1.97,-4.23,-2.31,-6.35,-1.57
1998-07,-5.34,-7.95,-6.67,-5.44,-4.05
1998-08,-19.69,-17.11,-23.81,-24.64,-18.7
1998-09,0.41,3.4,5.77,7.56,3.66
1998-10,3.89,3.74,6.52,4.99,1.11
1998-11,11.37,1.73,16.56,7.2,4.49
1998-12,4.45,-1.95,5.6,2.04,1.66
1999-01,5.16,2.5,15.69,8.89,4.58
1999-02,-4.1,-5.85,-7.01,-7.25,-2.51
1999-03,-3.22,0.64,0.32,-1.89,-1.98
1999-04,8.02,12.38,10.31,3.21,7.29
1999-05,3.49,2.92,6.52,5.88,1.5
1999-06,2.83,3.48,7.35,3.66,2.27
1999-07,-1.08,1.34,1.87,3.94,0.03
1999-08,-6.9,-2.5,-1.02,-1.63,-4.31
1999-09,-3.2,-3.02,1.84,-1.36,-2.92
1999-10,-2.52,-3.17,4.95,-2.7,-0.05
1999-11,4.38,1.52,27.41,13.2,2.86
1999-12,1.74,3.02,24.8,15.79,1.62
2000-01,1.45,3.8,11.42,24.01,-0.73
2000-02,3.1,3.82,33.14,42.94,1.16
2000-03,4.25,6.21,-3.39,-9.02,1.78
2000-04,-5.3,-1.82,-19.99,-13.71,-3.94
2000-05,-4.92,-0.33,-14.25,-7.33,-2.34
2000-06,2.16,2.57,16.56,19.08,2.48
2000-07,-1.58,-0.86,-8.39,-2.43,1.84
2000-08,2.99,6.42,8.88,12.78,4.15
2000-09,-4.19,-2.15,-11.42,-0.09,-0.97
2000-10,-5.26,-3.49,-12.99,-8.15,-3.68
2000-11,-9.46,-6.3,-26.72,-13.71,-5.7
2000-12,-2.69,6.28,-9.11,-3.64,2.77
2001-01,24.22,10.83,47.34,22.04,15.57
2001-02,-2.14,-1.49,-21.51,-9.19,-2
2001-03,-3.9,-3.14,-16.39,-9.36,-2.61
2001-04,5.54,5.96,12.98,12.55,4.16
2001-05,8.05,5.22,3.87,13.55,7.07
2001-06,2.31,-2.87,-0.12,7.26,2.93
2001-07,-0.45,-2.72,-9.86,-2.72,1.19
2001-08,-0.49,-3.22,-10.21,-2.82,-1.23
2001-09,-12.93,-12.6,-19.11,-11.82,-9.32
2001-10,4.32,4.59,19.13,11.88,1.71
2001-11,7.8,3.46,15.26,7.11,5.61
2001-12,5.98,5.02,8.65,6.37,5.56
2002-01,4.61,0.39,1.93,-3.24,2.91
2002-02,-0.71,0.55,-11.93,-7.92,-0.13
2002-03,8.27,10.2,9.83,6.44,6.22
2002-04,5.07,1.38,-6.55,-6.27,3.57
2002-05,1.13,-3.21,-6.94,-3.89,0.25
2002-06,-4.72,-5.18,-13.89,-10.08,-2.81
2002-07,-12.88,-12.42,-15.11,-11.06,-9.21
2002-08,-0.89,0.5,0.64,-0.71,0.96
2002-09,-7.88,-8.38,-13.99,-8.7,-5.41
2002-10,1.53,2.15,12.36,4.62,1.7
2002-11,9.35,7.94,26.89,11.33,6.78
2002-12,-4.5,-2.83,-11.01,-7.02,-1.28
2003-01,-2.43,-0.94,1.71,1.71,0.68
2003-02,-4.02,-2.37,-3.33,-2.64,-1.55
2003-03,-0.04,-0.38,1,4.8,1.85
2003-04,9.45,7.07,12.85,15.42,8.29
2003-05,8.68,12.09,22.9,23.64,8.61
2003-06,5.81,2.89,5.96,8.76,4.19
2003-07,6.98,3.52,11.83,6.7,6.14
2003-08,5.75,6,7.17,4.61,2.94
2003-09,0.61,0.17,3.57,7.25,1.73
2003-10,8.86,7.73,11.98,5.04,7.34
2003-11,3.18,3.65,5,2.69,3.88
2003-12,2.58,8.45,0.77,4.11,3.13
2004-01,5.06,4.94,11.97,11.9,4.14
2004-02,3.42,2.14,-2.54,0.45,2.17
2004-03,0.89,1.04,-1.96,0.39,1.1
2004-04,-1.26,-0.77,-7.01,-1.18,-3.29
2004-05,-0.67,0.45,1.74,-3.96,0.37
2004-06,3.29,6.2,1,-0.1,2.51
2004-07,-5.37,-3.24,-12.94,-10.01,-2.97
2004-08,-2.84,-1.34,-2.98,0.08,0.1
2004-09,2.97,5.65,4.25,4.23,3.61
2004-10,1.84,0.91,3.48,-1.17,2.38
2004-11,8.78,10.65,9.95,8.17,6.9
2004-12,5.67,3.9,8.76,7.68,4.64
2005-01,-2.06,-1.46,-7.53,-4.03,-2.16
2005-02,1,5.54,-0.18,-2.07,0.85
2005-03,-1.07,-0.86,-4.5,-7.33,-2.2
2005-04,-5.56,-6.54,-8.11,-3.41,-4.41
2005-05,5.65,4.43,6.38,4.93,3.87
2005-06,4.17,4.89,2.14,3.28,2.96
2005-07,6.07,8.22,6.84,8.75,4.81
2005-08,-3.27,0.85,-1.06,-0.97,-1.12
2005-09,-2.1,2.9,1.09,0.33,0.56
2005-10,-3.19,-5.79,-3.41,-4.63,-1.09
2005-11,3.79,3.28,4.8,2.26,3.45
2005-12,0.18,2.1,1.14,0.1,0.59
2006-01,6.45,11.67,8.71,11.37,4.75
2006-02,1.2,-1.89,0.9,2.18,0.57
2006-03,4.15,5.08,5.34,2.68,3.44
2006-04,1.21,3.88,0.23,-3.79,0.65
2006-05,-3.88,-4.89,-7.66,-7.49,-2.17
2006-06,-0.61,0.12,-2.82,-2.07,0.39
2006-07,-3.82,-2.18,-5.13,-4.73,-2.33
2006-08,1.15,0.56,4.23,3.69,1.26
2006-09,3.45,-1.97,1.34,-0.46,1.6
2006-10,5.54,6.14,4.39,6.5,3.82
2006-11,1.36,4.53,2.46,2.66,2.49
2006-12,1.98,-0.43,1.44,1.47,1.84
2007-01,3.27,1.59,2.77,4.57,1.22
2007-02,0.4,1.55,0.44,0.11,-0.86
2007-03,1.14,2.15,0.46,0.09,-0.95
2007-04,1.96,4.48,2.36,5.05,0.54
2007-05,2.2,4.13,2.75,-0.3,2.44
2007-06,-0.68,0.61,1.27,-3.74,-1.63
2007-07,-5.9,-3.86,-3.3,-5.03,-6.63
2007-08,-2.28,-1.72,-1.76,0.08,-0.17
2007-09,-0.46,3.13,2.74,3.06,0.43
2007-10,-0.34,2.78,2.85,2.6,-1.18
2007-11,-9.07,-7.63,-9.97,-8.22,-7.27
2007-12,-2.83,1.79,-0.33,-2.68,-2.9
2008-01,-4.54,-6.96,-9.92,-5.24,-1.04
2008-02,-3.95,1.04,-3.46,-1.73,-4.39
2008-03,-1.53,-1.79,-2.9,-5.61,-2.19
2008-04,2.14,6.07,2.91,2.16,0.04
2008-05,2.28,8.69,5.24,3.51,-0.25
2008-06,-11.92,-3.79,-8.79,-6.98,-12.87
2008-07,0.89,-4.06,-1.16,6.47,2.6
2008-08,3.96,1.12,2.09,-0.04,3.23
2008-09,-8.96,-16.58,-14.54,-13.08,-5.94
2008-10,-24.38,-25.07,-22.97,-18.86,-17.49
2008-11,-17.65,-14.46,-14.2,-13.84,-12.05
2008-12,5.15,-0.57,3.52,7.04,1.93
2009-01,-5.87,-5.67,-0.07,6.19,-8.9
2009-02,-9.55,-16.63,-8.69,-11.68,-11.71
2009-03,15.81,8.8,12.48,13.21,12.5
2009-04,33.29,23.88,20.87,13.9,17.69
2009-05,8.37,11.42,8.74,18.51,6.61
2009-06,3.45,0.24,7.03,10.74,0.25
2009-07,12.67,10.18,8.47,9.12,5.97
2009-08,7.58,6.13,7.73,5.81,5.8
2009-09,6.37,10.41,10.83,8.44,2.45
2009-10,-3.62,-5.24,-6.23,-10.56,-7.09
2009-11,1.93,3.62,2.98,3.23,-0.42
2009-12,6.52,8.18,8.78,8.03,3.61
2010-01,-0.78,-2.58,-3.14,0.08,2.05
2010-02,5.75,4.31,5,2.07,2.46
2010-03,10,7,8.43,8.18,7.14
2010-04,7.31,8.14,5.87,6.97,9.22
2010-05,-7.37,-9.32,-7.04,-9.04,-8.24
2010-06,-9.15,-6.77,-6.19,-7.68,-8.77
2010-07,6.37,7.94,6.64,2.88,4.36
2010-08,-7.85,-6.51,-6.13,-5.57,-7.46
2010-09,12.39,10.96,13.66,11.35,8.04
2010-10,3.89,6.16,6.01,2.65,2.63
2010-11,3.75,4.72,1.65,0.02,1.24
2010-12,5.76,8.96,8.07,10.81,9.04
2011-01,-0.58,3.17,3.22,1.33,1.77
2011-02,4.12,5.5,5.49,3.47,2.83
2011-03,1.2,3.25,0.81,2.74,-0.55
2011-04,2.31,0.45,1.42,5.12,0.33
2011-05,-1.08,-3.49,-1.81,-0.1,-2.67
2011-06,-1.55,-2.66,-2.88,-4.12,-2.17
2011-07,-1.89,-0.98,-4.81,-3.25,-1.89
2011-08,-8.89,-9.93,-10.03,-11.36,-8.24
2011-09,-9.3,-14.4,-11.08,-9.38,-9.88
2011-10,12.23,16.41,11.84,9.84,10.66
2011-11,-2.51,0.05,-3.52,-2.87,-0.98
2011-12,0.65,-1.13,-0.84,-0.83,1.11
2012-01,7.42,8.41,10.06,11.74,8.77
