Date,"  Average Equal Weighted Returns -- Monthly, Cnsmr",Number of firms,Average Firm size,ChangeinNumberofFirms,ChangeinAverageFirmSize
200509,-2.1,774,3044.85,-0.005141388,-0.028904665
200510,-3.19,763,3034.68,-0.014211886,-0.003340066
200511,3.79,758,3040.76,-0.00655308,0.002003506
200512,0.18,750,3149.08,-0.01055409,0.035622673
200601,6.45,745,3142.99,-0.006666667,-0.001933898
200602,1.2,738,3218.79,-0.009395973,0.024117162
200603,4.15,732,3276.56,-0.008130081,0.017947738
200604,1.21,729,3341.06,-0.004098361,0.01968528
200605,-3.88,724,3341.25,-0.006858711,5.68682E-05
200606,-0.61,718,3325.99,-0.008287293,-0.004567153
200607,-3.82,764,3152.98,0.064066852,-0.052017595
200608,1.15,761,3121.69,-0.003926702,-0.009923945
200609,3.45,755,3218.1,-0.007884363,0.030883912
200610,5.54,751,3331.04,-0.005298013,0.035095243
200611,1.36,742,3459.14,-0.011984021,0.038456458
200612,1.98,739,3461.71,-0.004043127,0.000742959
200701,3.27,733,3523.03,-0.00811908,0.017713789
200702,0.4,729,3627.22,-0.005457026,0.029573975
200703,1.14,724,3568.13,-0.006858711,-0.016290713
200704,1.96,721,3615.4,-0.004143646,0.013247836
200705,2.2,715,3744.63,-0.008321775,0.035744316
200706,-0.68,709,3865.23,-0.008391608,0.032206119
200707,-5.9,730,3665.95,0.029619182,-0.051557087
200708,-2.28,722,3517.76,-0.010958904,-0.040423355
200709,-0.46,717,3582.61,-0.006925208,0.018435027
200710,-0.34,709,3643.61,-0.011157601,0.017026693
200711,-9.07,699,3743.81,-0.014104372,0.027500199
200712,-2.83,692,3671.2,-0.010014306,-0.019394681
200801,-4.54,690,3595.98,-0.002890173,-0.020489213
200802,-3.95,688,3504.25,-0.002898551,-0.025509041
200803,-1.53,685,3408.61,-0.004360465,-0.027292573
200804,2.14,679,3468.3,-0.008759124,0.017511537
200805,2.28,672,3581.66,-0.010309278,0.032684601
200806,-11.92,671,3660.41,-0.001488095,0.021987012
200807,0.89,693,3288.88,0.032786885,-0.101499559
200808,3.96,688,3355.86,-0.007215007,0.020365596
200809,-8.96,683,3496.16,-0.007267442,0.041807465
200810,-24.38,675,3320.03,-0.011713031,-0.050378129
200811,-17.65,667,2780.56,-0.011851852,-0.162489496
200812,5.15,664,2580.57,-0.004497751,-0.071924361
200901,-5.87,658,2646.27,-0.009036145,0.025459492
200902,-9.55,653,2499.44,-0.007598784,-0.055485646
200903,15.81,650,2369.77,-0.004594181,-0.051879621
200904,33.29,646,2574.74,-0.006153846,0.086493626
200905,8.37,644,2808.27,-0.003095975,0.09070042
200906,3.45,640,2880.78,-0.00621118,0.025820167
200907,12.67,644,2709.28,0.00625,-0.059532488
200908,7.58,640,2932.37,-0.00621118,0.08234291
200909,6.37,637,3013.22,-0.0046875,0.027571555
200910,-3.62,635,3109.44,-0.003139717,0.031932617
200911,1.93,629,3127.72,-0.009448819,0.005878872
200912,6.52,626,3287.95,-0.004769475,0.05122901
201001,-0.78,623,3373.64,-0.004792332,0.026061832
201002,5.75,621,3315.56,-0.003210273,-0.017215826
201003,10,615,3453.78,-0.009661836,0.041688282
201004,7.31,615,3660.08,0,0.059731656
201005,-7.37,612,3731.63,-0.004878049,0.019548753
201006,-9.15,611,3518.61,-0.001633987,-0.057084974
201007,6.37,630,3195.76,0.031096563,-0.091754983
201008,-7.85,627,3413.47,-0.004761905,0.06812464
201009,12.39,625,3303.93,-0.003189793,-0.032090512
201010,3.89,623,3625.57,-0.0032,0.097350731
201011,3.75,620,3761.11,-0.004815409,0.037384466
201012,5.76,618,3873.13,-0.003225806,0.029783761
201101,-0.58,616,4031.99,-0.003236246,0.041015923
201102,4.12,614,3989.55,-0.003246753,-0.01052582
201103,1.2,607,4134.44,-0.011400651,0.036317379
201104,2.31,603,4226.32,-0.006589786,0.022223082
201105,-1.08,599,4435.31,-0.006633499,0.049449639
201106,-1.55,594,4500.1,-0.008347245,0.014607773
201107,-1.89,608,4349.23,0.023569024,-0.033525922
201108,-8.89,607,4293.34,-0.001644737,-0.012850551
201109,-9.3,606,4165.04,-0.001647446,-0.029883494
201110,12.23,604,3950.83,-0.00330033,-0.051430478
201111,-2.51,600,4350.02,-0.006622517,0.101039528
201112,0.65,596,4388.34,-0.006666667,0.008809155
201201,7.42,594,4437.25,-0.003355705,0.011145445
201202,5.22,592,4597.99,-0.003367003,0.036225139
201203,3.73,591,4769.3,-0.001689189,0.037257584
201204,-0.53,588,4921.69,-0.005076142,0.031952278
201205,-5.47,586,4941.13,-0.003401361,0.003949863
201206,2.02,580,4814.24,-0.010238908,-0.025680361
201207,-0.95,597,4661.32,0.029310345,-0.0317641
201208,3.07,594,4738.96,-0.005025126,0.016656226
201209,3.25,590,4846.09,-0.006734007,0.022606226
201210,-1.13,584,4959.31,-0.010169492,0.023363165
201211,1.98,583,4924.83,-0.001712329,-0.00695258
201212,1.86,582,5034.74,-0.001715266,0.022317522
201301,6.67,577,4994.63,-0.008591065,-0.007966648
201302,0.97,571,5298.85,-0.010398614,0.060909417
201303,5.48,570,5388.36,-0.001751313,0.016892345
201304,1.49,566,5669.07,-0.007017544,0.052095628
201305,5.43,562,5886.58,-0.007067138,0.038367845
201306,0.39,557,5951.46,-0.008896797,0.01102168
201307,6.06,577,5621.17,0.035906643,-0.055497307
201308,-3.06,574,5931.18,-0.005199307,0.05515044
201309,5.53,572,5705.2,-0.003484321,-0.038100344
201310,3.11,568,5940.89,-0.006993007,0.041311435
201311,3.33,558,6305.94,-0.017605634,0.061447022
201312,1.76,557,6473.62,-0.001792115,0.026590802
201401,-4.22,555,6547.67,-0.003590664,0.011438731
201402,4.82,551,6195.82,-0.007207207,-0.053736673
201403,1.29,550,6504.05,-0.001814882,0.049748056
201404,-3.13,548,6554.65,-0.003636364,0.007779768
201405,0.12,546,6548.33,-0.003649635,-0.000964201
201406,2.28,545,6665.94,-0.001831502,0.017960304
201407,-4.5,570,6608.6,0.04587156,-0.008601938
201408,5.79,566,6415.76,-0.007017544,-0.029180159
201409,-4.12,565,6757.04,-0.001766784,0.05319401
201410,3.74,561,6673.5,-0.007079646,-0.012363402
201411,2.11,559,6883.25,-0.003565062,0.031430284
201412,1.52,555,7310.74,-0.007155635,0.062105837
201501,-2.72,552,7321.07,-0.005405405,0.00141299
201502,4.84,548,7307.09,-0.007246377,-0.001909557
201503,1.33,545,7724.79,-0.005474453,0.057163659
201504,-1.59,544,7679.07,-0.001834862,-0.005918607
201505,0.18,542,7598.18,-0.003676471,-0.010533828
201506,-0.18,540,7653.82,-0.003690037,0.007322806
201507,-1.82,553,7202.07,0.024074074,-0.059022815
201508,-4.56,548,7541.26,-0.009041591,0.047096182
201509,-5.34,547,7166.12,-0.001824818,-0.049745003
201510,4.4,544,7074.61,-0.005484461,-0.012769811
201511,-0.41,544,7451.49,0,0.053272195
201512,-3.55,542,7489.03,-0.003676471,0.005037919
201601,-6.55,539,7519.66,-0.005535055,0.004089982
201602,3.43,537,7282.48,-0.003710575,-0.03154132
201603,6.96,536,7295.9,-0.001862197,0.001842779
201604,0.71,530,7781.4,-0.01119403,0.066544223
201605,-2.27,526,7779.65,-0.00754717,-0.000224895
201606,0.95,525,7839.07,-0.001901141,0.007637876
201607,6.37,539,7886.88,0.026666667,0.006098938
201608,1.66,536,8116.28,-0.005565863,0.02908628
201609,-0.69,534,8041.4,-0.003731343,-0.009225902
201610,-4.17,530,7969.63,-0.007490637,-0.008925063
201611,8.12,529,7776.99,-0.001886792,-0.024171762
201612,1.86,527,7896.97,-0.003780718,0.015427563
201701,-2.41,526,7997.87,-0.001897533,0.012777052
201702,-0.14,524,8130.4,-0.003802281,0.016570662
201703,0.75,520,8410.15,-0.007633588,0.034407901
201704,1.63,518,8461.13,-0.003846154,0.006061723
201705,-2.38,516,8639.95,-0.003861004,0.021134293
201706,1.02,512,8818.3,-0.007751938,0.020642481
201707,-1.84,527,8166.81,0.029296875,-0.073879319
201708,-3.52,526,8141.84,-0.001897533,-0.003057497
201709,6.41,521,8037.93,-0.009505703,-0.012762471
201710,-1.96,521,8163.07,0,0.015568685
201711,6.46,519,8315.41,-0.003838772,0.018662096
201712,2.89,514,8868.86,-0.009633911,0.066557151
201801,1.68,510,9091.29,-0.007782101,0.025079886
201802,-4.71,509,9671.82,-0.001960784,0.063855624
201803,0.47,505,9202.84,-0.007858546,-0.048489323
201804,0.91,501,9018.62,-0.007920792,-0.020017734
201805,3.87,500,9126.23,-0.001996008,0.011931981
201806,4.15,497,9102.7,-0.006,-0.002578283
201807,0.14,512,8944.91,0.030181087,-0.017334417
201808,4.32,512,9179.5,0,0.026226088
201809,-2.06,511,9612.41,-0.001953125,0.047160521
201810,-8.26,506,9693.91,-0.009784736,0.008478623
201811,-1.35,503,9162.02,-0.005928854,-0.054868469
201812,-12.93,500,9278.42,-0.005964215,0.012704622
201901,12.22,498,8374.36,-0.004,-0.097436848
201902,4.3,498,9046.27,0,0.080234191
201903,-3.38,495,9195.82,-0.006024096,0.016531675
201904,2.55,492,9489.44,-0.006060606,0.031929725
201905,-10.57,490,9913.24,-0.004065041,0.04466017
201906,6.37,488,9305.44,-0.004081633,-0.061311942
201907,-0.03,504,9673.11,0.032786885,0.039511297
201908,-3.94,501,9836.67,-0.005952381,0.016908729
201909,5.52,497,9836.2,-0.007984032,-4.77804E-05
201910,-0.07,494,10001.42,-0.006036217,0.016797137
201911,3.44,490,10164.55,-0.008097166,0.016310684
201912,2.35,488,10416.18,-0.004081633,0.024755646
202001,-4.21,487,10645.63,-0.00204918,0.022028229
202002,-9.4,483,10818.43,-0.008213552,0.016232013
202003,-24.04,481,10046.61,-0.004140787,-0.071343069
202004,21.62,481,9025.15,0,-0.101672106
